Airport_ID	Type	Name	Latitude_Deg	Longitude_Deg	Iata_Code	Airport_Radius
318	heliport	VA Medical Center Jackson Heliport	32.32973	-90.16273	0	[(32.35468519859284, -90.16273), (32.34884679120898, -90.14374634600688), (32.334063424758966, -90.13364535469695), (32.31725240070358, -90.13715339216414), (32.30627978403206, -90.15262900869007), (32.30627978403206, -90.17283099130992), (32.31725240070358, -90.18830660783586), (32.334063424758966, -90.19181464530304), (32.34884679120898, -90.18171365399311), (32.35468519859284, -90.16273)]
319	small_airport	Jones Landing Airport	45.815368	-111.152163	0	[(45.865278397185676, -111.152163), (45.85360158241795, -111.10613281700044), (45.82403484951793, -111.08164066819486), (45.79041280140716, -111.09014670220934), (45.768467568064125, -111.12767085119442), (45.768467568064125, -111.17665514880557), (45.79041280140716, -111.21417929779065), (45.82403484951793, -111.22268533180512), (45.85360158241795, -111.19819318299956), (45.865278397185676, -111.152163)]
322	heliport	Paulus Hook Pier Heliport	40.713385	-74.03203	0	[(40.73834019859284, -74.03203), (40.732501791208975, -74.01086736957694), (40.717718424758964, -73.99960696912527), (40.70090740070358, -74.00351766516174), (40.68993478403206, -74.02076959954833), (40.68993478403206, -74.04329040045168), (40.70090740070358, -74.06054233483829), (40.717718424758964, -74.06445303087476), (40.732501791208975, -74.05319263042308), (40.73834019859284, -74.03203)]
326	heliport	Drill Field Pad Heliport	44.059531	-123.118951	0	[(44.08448619859284, -123.118951), (44.07864779120897, -123.09662912637619), (44.06386442475896, -123.08475190550098), (44.047053400703575, -123.08887682102244), (44.03608078403206, -123.10707377912476), (44.03608078403206, -123.13082822087524), (44.047053400703575, -123.14902517897755), (44.06386442475896, -123.15315009449903), (44.07864779120897, -123.1412728736238), (44.08448619859284, -123.118951)]
328	small_airport	Dorlon Airpark	41.28839874267578	-81.96260070800781	0	[(41.33830913986146, -81.96260070800781), (41.32663232509373, -81.91990456647973), (41.29706559219371, -81.8971864240874), (41.26344354408294, -81.90507635214021), (41.24149831073991, -81.93988256561548), (41.24149831073991, -81.98531885040015), (41.26344354408294, -82.02012506387541), (41.29706559219371, -82.02801499192822), (41.32663232509373, -82.0052968495359), (41.33830913986146, -81.96260070800781)]
330	heliport	PECO Mob. Heliport	39.9548	-75.178201	0	[(39.97975519859284, -75.178201), (39.97391679120898, -75.15727494768431), (39.95913342475897, -75.1461404278143), (39.94232240070358, -75.15000740598356), (39.93134978403206, -75.16706648012999), (39.93134978403206, -75.18933551987001), (39.94232240070358, -75.20639459401646), (39.95913342475897, -75.21026157218571), (39.97391679120898, -75.1991270523157), (39.97975519859284, -75.178201)]
331	heliport	State Police Area Iii Heliport	40.30009841918945	-76.85800170898438	0	[(40.325053617782295, -76.85800170898438), (40.31921521039843, -76.83696908550209), (40.304431843948414, -76.82577786029874), (40.287620819893036, -76.8296645320236), (40.27664820322151, -76.84681048378103), (40.27664820322151, -76.86919293418772), (40.287620819893036, -76.88633888594516), (40.304431843948414, -76.89022555767001), (40.31921521039843, -76.87903433246666), (40.325053617782295, -76.85800170898438)]
341	heliport	Sacred Heart Medical Center Helistop	47.64820098876953	-117.41400146484376	0	[(47.67315618736237, -117.41400146484376), (47.667317779978504, -117.39019064851514), (47.65253441352849, -117.37752117777443), (47.63572338947311, -117.3819212387867), (47.62475077280159, -117.40133199410305), (47.62475077280159, -117.42667093558447), (47.63572338947311, -117.44608169090083), (47.65253441352849, -117.45048175191309), (47.667317779978504, -117.43781228117238), (47.67315618736237, -117.41400146484376)]
344	heliport	Moore County Hospital District Heliport	35.863631	-101.970944	0	[(35.88858619859283, -101.97094400000002), (35.88274779120897, -101.9511505379642), (35.86796442475896, -101.94061865679477), (35.85115340070357, -101.94427634073972), (35.84018078403206, -101.96041211883058), (35.84018078403206, -101.98147588116944), (35.85115340070357, -101.9976116592603), (35.86796442475896, -102.00126934320525), (35.88274779120897, -101.99073746203582), (35.88858619859283, -101.97094400000002)]
354	heliport	ABC7-TV Heliport	34.15732	-118.2888	0	[(34.18227519859284, -118.28880000000001), (34.17643679120898, -118.26941521331973), (34.16165342475897, -118.25910078376506), (34.14484240070358, -118.26268294755674), (34.13386978403206, -118.27848557044534), (34.13386978403206, -118.29911442955468), (34.14484240070358, -118.31491705244328), (34.16165342475897, -118.31849921623495), (34.17643679120898, -118.30818478668029), (34.18227519859284, -118.28880000000001)]
358	heliport	Morton Plant Hospital Heliport	27.953527	-82.806222	0	[(27.97848219859284, -82.806222), (27.972643791208977, -82.78806239139925), (27.957860424758966, -82.77839986548436), (27.94104940070358, -82.78175562551792), (27.930076784032064, -82.79655947408511), (27.930076784032064, -82.81588452591491), (27.94104940070358, -82.83068837448211), (27.957860424758966, -82.83404413451566), (27.972643791208977, -82.82438160860077), (27.97848219859284, -82.806222)]
369	heliport	Johns Hopkins Bayview Hospital Heliport	39.291401	-76.546303	0	[(39.31635619859284, -76.546303), (39.31051779120898, -76.52557659910435), (39.29573442475897, -76.51454831153606), (39.27892340070358, -76.5183783956141), (39.26795078403207, -76.5352747124317), (39.26795078403207, -76.55733128756829), (39.27892340070358, -76.57422760438588), (39.29573442475897, -76.57805768846393), (39.31051779120898, -76.56702940089563), (39.31635619859284, -76.546303)]
371	heliport	Henry Ford Jackson Hospital Heliport	42.251025	-84.391319	0	[(42.27598019859284, -84.391319), (42.27014179120898, -84.36964815390067), (42.25535842475897, -84.35811733753583), (42.23854740070358, -84.36212194803336), (42.22757478403206, -84.37978818363517), (42.22757478403206, -84.4028498163648), (42.23854740070358, -84.42051605196662), (42.25535842475897, -84.42452066246415), (42.27014179120898, -84.41298984609932), (42.27598019859284, -84.391319)]
375	small_airport	Tailwinds Airport	34.82749938964844	-78.9302978515625	0	[(34.877409786834114, -78.9302978515625), (34.86573297206639, -78.89121543685246), (34.83616623916637, -78.87042011833792), (34.802544191055595, -78.87764225666602), (34.78059895771256, -78.90950253304796), (34.78059895771256, -78.95109317007706), (34.802544191055595, -78.98295344645898), (34.83616623916637, -78.9901755847871), (34.86573297206639, -78.96938026627254), (34.877409786834114, -78.9302978515625)]
